app_id,name,release_date,is_free,price_overview,type
9050,DOOM 3,2007-08-03,0,\N,game
9060,HeXen II,2007-08-03,0,"8,99",game
9120,Hexen II Demo,2007-08-03,1,\N,demo
9180,Commander Keen,2007-08-03,0,"8,99",game
9200,RAGE,2011-10-03,0,"29,99",game
9300,Company of Heroes Singleplayer Demo,2007-07-17,1,\N,demo
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",2007-08-07,0,\N,game
9320,Dawn of War® Demo,2007-08-21,1,\N,demo
9330,Dawn of War® - Winter Assault Demo,2007-08-21,1,\N,demo
9340,Company of Heroes: Opposing Fronts,2007-09-24,0,"57,99",game
9350,Supreme Commander,2011-09-28,0,"33,98",game
9420,Supreme Commander: Forged Alliance,2011-09-28,0,"33,98",game
9440,"Warhammer® 40,000: Dawn of War® - Soulstorm Demo",2008-01-23,1,\N,demo
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",2008-03-05,0,\N,game
9460,Frontlines™: Fuel of War™,2008-02-29,0,"34,99",game
9480,Saints Row 2,2009-01-07,0,"50,00",game
9500,Gish,2007-07-20,0,"20,69",game
9510,Gish Demo,2008-01-03,1,\N,demo
9710,Desperados 2: Cooper's Revenge,2008-03-12,0,"16,99",game
9730,Tycoon City: New York,2008-03-12,0,"16,99",game
9760,Act of War: High Treason,2008-03-12,0,"6,29",game
9800,Death to Spies,2008-03-12,0,"16,99",game
9850,Codename: Panzers - Cold War,2009-05-06,0,"27,99",game
9880,Champions Online,2011-06-14,1,\N,game
9900,Star Trek Online,2012-01-31,1,\N,game
9940,Blade Kitten,2014-05-22,0,"6,29",game
9950,Blade Kitten Demo,2010-09-22,1,\N,demo
9960,Haunted House™ (2010),2010-09-28,0,"11,99",game
9970,Star Raiders,2011-05-11,0,"19,99",game
9980,The UnderGarden,2010-11-10,0,"13,99",game
10090,Call of Duty: World at War,2008-11-18,0,"82,42",game
10100,King's Quest™ Collection,2009-07-23,0,"54,95",game
10110,Space Quest™ Collection,2009-07-23,0,"36,26",game
10120,Aces of the Galaxy™,2009-07-23,0,"18,11",game
10130,TimeShift™,2009-07-23,0,"54,95",game
